1	7307723	Lass uns spielen!
1	6706566	Fangen wir an.
1	5788816	Interessant.
1	7499245	Ich entschuldige mich dafür.
1	7347635	Isst du Fleisch?
1	7347633	Isst du Fisch?
1	7347625	Isst du Eier?
1	7307711	Ich bin kreativ.
1	7187470	Er lernt.
1	7090001	Du bist weise.
1	7089948	Ich bin erwachsen.
1	7089921	Tom strickt.
1	7083486	Kommt her.
1	7083479	Ich verstehe Französisch.
1	7080340	Du bist gesprächig.
1	6974933	Ich esse Fleisch.
1	6974924	Ich liebe Mathematik.
1	6973636	Probier das.
1	6950818	Das ist ein guter Punkt.
1	6941744	Hab einen schönen Schultag.
1	6930373	Ich mag Zeichentrickfilme.
1	6925653	Wohin gehen wir?
1	6924763	Machen wir eine Pause.
1	6782784	Ich reise allein.
1	6771670	Ich tanze.
1	6771667	Schlafen Fische?
1	6735900	Tom singt.
1	6729933	Schläft er?
1	6729789	Ich bin gesund.
1	6719418	Ich suche meinen Bruder.
1	6712759	Ich bin dreizehn.
1	6705900	Wohnt ihr hier?
1	7665563	Wie viel kostet das?
1	7665547	Das ist ein Krankenhaus.
1	7632431	Zwei Tickets für Erwachsene, bitte.
1	7585720	Die Kinder schlafen.
1	7559356	Ich spiele kein Golf.
1	7485155	Du bist der Beste.
1	7452261	Ich schlafe nicht gut.
1	7428193	Ist das Mittagessen fertig?
1	7349508	Es gibt keinen Aufzug.
1	7331164	Was trinkt Tom?
1	7249453	Was verkaufen sie?
1	7244193	Wo ist die Karte?
1	7085028	Hier ist dein Getränk.
1	7033848	Ist das wahr?
1	7578652	Wir brauchen mehr Kaffee.
1	7534066	Tom hat eine große Familie.
1	7459500	Name und Adresse, bitte.
1	7224183	Ich habe eine neue Arbeit.
2	7591749	Ich glaube dir.
2	7586527	Komm unbedingt vorbei.
2	7536746	Ich angle gern.
2	7529378	Möchtest du etwas?
2	7480527	Wie schmeckt der Salat?
2	7263518	Gehen wir in den Garten.
2	7248993	Wohnst du gern in Boston?
2	7082908	Feierst du gern?
2	7082225	Ich arbeite gern.
2	7082222	Wir sind interessiert.
2	7029774	Kennst du den Busfahrer?
2	7026889	Ich gehe duschen.
