2123229	Das ist ein Hotel.
2135533	Er hat mein Fahrrad gefunden.
2793732	Tom wird uns morgen nicht helfen.
3208667	Kopf hoch!
3464360	Du kannst nicht weglaufen.
3464361	Ihr könnt nicht weglaufen.
3464364	Du hast ein blaues Auge.
3464382	Du siehst stark aus.
3464383	Du wirkst stark.
3464402	Ich bin froh, dass es Tom gut geht.
3480107	Die Schlacht fand hier statt.
3484396	Das freut mich zu hören.
3484397	Ich bin froh, dass es Tom gefallen hat.
3484406	Ich bin nicht unorganisiert.
3484413	Ich muss Tom jetzt finden.
3484414	Ich muss Tom jetzt finden.
3484426	Ich bin nicht groß.
3484427	Ich hoffe, Tom sieht das.
3525248	Erwartest du wirklich, dass Tom dir die Wahrheit sagt?
3525255	Ich wünschte, Tom würde sich beeilen.
3525256	Ich habe Mary um ein Date gebeten.
3525260	Ich kann Tom nicht beschützen.
3525262	Ich kann Tom nicht beschützen.
3525269	Könnte ich meine Waffe zurückbekommen?
3525679	Können wir Tom interviewen?
3525680	Kann ich mir das ausleihen?
3525681	Kann ich mir das ausleihen?
3525704	Stecken wir schon wieder in Schwierigkeiten?
3525705	Wir haben nichts angefasst.
3525706	Wir sind gekommen, um uns zu entschuldigen.
3525708	Wir haben dir einen Kuchen gemacht.
3525709	Wir haben dir einen Kuchen zubereitet.
3525710	Das ist eine große Entscheidung.
3542259	Tom wollte die Würmer nicht essen, obwohl sie viel Eiweiß enthielten.
3553405	Ich bin nicht pessimistisch.
3553409	Das habe ich Tom gestohlen.
3553413	Kannst du die Tür öffnen?
3553414	Bekomme ich meine Waffe zurück?
3553415	Kann ich ein Bier bekommen?
3553416	Könnte ich eine Tasse Kaffee bekommen?
3553420	Kannst du das reparieren?
3553435	Tom möchte ein größeres Büro.
3553436	Tom möchte ein größeres Büro.
3553437	Tom will ein größeres Büro.
3573529	Die Toilette ist schmutzig.
3596617	Kann ich mir ein Hemd ausleihen?
3596618	Möchtest du Tee?
3596628	Kannst du aufhören zu schreien?
3600107	Es war eine kleine Hochzeit.
3600764	Sie hätten dich töten können.
3630287	Gehst du jeden Tag zu Fuß zur Schule?
3641015	Tom ist außergewöhnlich gut aussehend.
3871035	Tomi ist keine Bedrohung.
3871036	Das alles ist mir fremd.
3871823	Du bringst mich zum Erröten.
3871834	Ich liebe deinen Bart.
3871835	Trinken wir noch ein Bier.
3871836	Trinken wir noch ein Bier.
3874601	Wem gehört das Auto dort?
3874603	Ich hasse diese Katze.
3968353	Dieser Knoten ist locker.
4003392	Lerne von jetzt an fleißiger.
4036299	Vögel bauen Nester.
4066210	Wir haben Schach gespielt.
4066217	Du bist grausam.
4066219	Ihr seid grausam.
4123460	Hast du mit Tom geflirtet?
4125149	Ich glaube, Tom wird nie wieder mit mir sprechen.
4135763	Tomi ging in einen Vergnügungspark.
4143963	Tomi ist Blogger.
4144001	Lässt du dir einen Bart wachsen?
4144007	Die Frau dort ist schön.
4144524	Ich habe Gänsehaut.
4144629	Alle drehten durch.
4144655	Ich nahm die Herausforderung an.
4144656	Wer hat den Stuhl kaputt gemacht?
4144657	Mein Flug wurde gestrichen.
4144659	Meine Freundin ist Kanadierin.
4145269	Wir haben uns auf einer Kreuzfahrt kennengelernt.
4145270	Wir haben uns auf einer Kreuzfahrt kennengelernt.
4145275	Ich hätte fast angefangen zu weinen.
4145277	Ich möchte Schach spielen.
4145297	Wo habe ich meine Jacke hingelegt?
4145311	Das Problem ist kompliziert.
4145312	Ich war nicht überzeugt.
4145318	Ich habe keine Angst vor Bullen.
4145329	Pass auf, dass du nicht zu viel isst.
4148293	Wir sind nicht verwandt.
4148297	Wer zahlt die Miete?
4148337	Früher war ich reich.
4148340	Ich habe keinen Reis bestellt.
4148375	Merk dir diese Regel.
4149761	Ich nahm an einem Seminar teil.
4149762	Ich nahm an dem betreffenden Seminar teil.
4149765	Ich war etwas erschüttert.
4149766	Ich stand ein bisschen unter Schock.
4149782	Manchmal zittern meine Hände.
4149786	Du bist wirklich schlecht in Form.
4149787	Wo sind meine Schuhe?
4149788	Wo sind meine Schuhe?
4149794	Ich wurde verarscht.
4153714	Tomi sprang über den Graben.
4155293	Wir essen bald.
4155310	Normalerweise schnarche ich nicht.
4155311	Schnarchst du?
4155312	Ich habe einen Schneemann gebaut.
4156385	Der Motor springt nicht an.
4156397	Es tut mir furchtbar leid.
4156400	Mein Auto wurde gestohlen.
4156401	Mein Auto wurde geklaut.
4156407	Ich brauche Untertitel.
4164703	Ich habe vergessen, das zu tun.
4164705	Ich habe vergessen, das zu tun.
4164717	Reden wir nicht darüber.
4164720	Tomi hätte Mari nichts davon erzählen sollen.
4164723	Was ist daran lustig?
4170833	Warum hast du sie angelogen?
4170837	Mein Büro ist dort drüben.
4170843	Ich empfehle das hier.
4170845	Das esse ich nicht.
4170855	Sie lügen ständig.
4172243	Tomi ist heute nicht zur Arbeit gekommen.
4172257	Du bist bestimmt müde.
4172278	Gehen wir zusammen Mittag essen.
4172279	Essen wir zusammen.
4172281	Essen wir zusammen.
4172283	Essen wir zusammen.
4172284	Essen wir zusammen.
4172287	Wohin bist du gezogen?
4172888	Hast du schon einmal Golf gespielt?
4172903	Ich habe Tomi die Hand geschüttelt.
4172910	Sei nicht böse auf Tomi.
4173048	Ich werde es Tomi gegenüber erwähnen.
4173051	Ich werde Tomi davon erzählen.
4173095	Gib mir den Zucker, Tomi.
4173100	Ich beneide dich, Tomi.
4174381	Ich bin mit dem Zug dorthin gefahren.
4174535	Das geht auf mich.
4174538	Sie kommen am Abend an.
4181784	Ich kann es versuchen.
4181787	Tomi musste Mari die Wahrheit sagen.
4181797	Ich habe Lust, fernzusehen.
4181800	Ich habe Lust, fernzusehen.
4183242	Tomi schoss mit seinem Gewehr.
4183315	Das habe ich mir ausgedacht.
4183327	Tomi war anderer Meinung als wir.
4183956	Bist du immer noch böse auf uns?
4186269	Machst du dir Sorgen um uns?
4186272	Ich möchte nützlich sein.
4186279	Tu etwas Nützliches.
4186292	Sie sind alle im Urlaub.
4186326	Möchtest du Kekse?
4186327	Darf es etwas Gebäck sein?
4186328	Möchtest du Kekse?
4186339	Tomi ging ohne Vorwarnung.
4186347	Meine Eltern sind zu Besuch.
4186348	Meine Eltern sind zu Besuch.
4186359	Ich habe mein Portemonnaie vergessen.
4186364	Welche Geschmacksrichtung möchtest du?
4186943	Ich bin kein Sonderling.
4186945	Schau in den Brunnen.
4186948	Ist die Operation gut verlaufen?
