# sentence id<TAB>exact focus<TAB>title<TAB>explanation
6729935	Nukkuukse	Gesprochene Frage	Nukkuukse entspricht standardsprachlich nukkuuko se („schläft er/sie/es?“). Die Fragepartikel und se verschmelzen in der gesprochenen Form.
6771683	Pieni maailma	Adjektiv und Nomen	pieni („klein“) beschreibt maailma („Welt“). Beide stehen im Nominativ Singular. Als kurzer Kommentar braucht die Wortgruppe kein ausgesprochenes Verb oder einen Artikel.
3261483	Paikallasi	Ort mit Besitzendung	paikka → paikalla-si: Adessiv auf -lla plus Besitzendung -si („dein“). Der Zuruf meint „auf deinem Platz/bleib, wo du bist“; das Verb entfällt.
3368495	Upeeta	Gesprochener Partitiv	upeeta ist eine gesprochene Form des standardsprachlichen upeaa, Partitiv von upea („großartig“). Der einzelne Partitiv kann eine begeisterte Bewertung ausdrücken.
3374612	Väsyttää	Befinden ohne ausgesprochenen Erlebenden	väsyttää beschreibt Müdigkeit beziehungsweise „müde machen“. Die betroffene Person könnte im Partitiv stehen, etwa minua väsyttää („ich bin müde“). Im kurzen Ausruf ist sie aus dem Zusammenhang zu verstehen.
3980158	Pää kii	Verkürzte Aufforderung	pää bedeutet „Kopf“, kii ist die gesprochene Kurzform von kiinni („zu“). Die derbe Aufforderung kommt ohne Verb aus; idiomatisch ist „Mund halten“ gemeint.
4156400	varastettiin	Passiv in der Vergangenheit	varastaa („stehlen“) → varastettiin: Die vergangene Handlung wird ohne genannten Täter ausgedrückt. Im Deutschen passt „wurde gestohlen“.
4156400	Autoni	Besitzendung	auto („Auto“) + -ni („mein“) ergibt autoni. Hier ist „mein Auto“ das, was gestohlen wurde; ein separates minun ist nicht nötig.
4284004	Odotetaan tunti	Gemeinsamer Vorschlag und Zeitdauer	odotetaan ist die Passivform von odottaa („warten“), hier als „warten wir“. Die vollständig gedachte Dauer steht in diesem Vorschlag als tunti („eine Stunde“) ohne -n.
4409270	Vedetään kännit	Umgangssprachliche Wendung	vetää kännit heißt umgangssprachlich „sich betrinken“. vedetään ist die Passivform, hier für einen gemeinsamen Vorschlag; kännit ist ein festes Pluralwort in dieser Wendung.
